,Word,Number_of_edges
10213,innumerable,6
10214,monopolization,1
10215,unutterably,1
10216,unbelievable,2
10217,irrational,1
10218,keepsake,2
10219,outlandish,2
10220,tipped,8
10221,psychoanalyze,1
10222,unutterable,5
10223,unbelievably,2
10224,reposition,3
10225,compressing,6
10226,annealing,3
10227,refund,2
10228,canary,5
10229,embezzlement,3
10230,stylize,1
10231,worship,4
10232,blocked,21
10233,apex,1
10234,varicolored,1
10235,coordinated,8
10236,meridian,8
10237,cutter,3
10238,unveiling,3
10239,warrantee,1
10240,feathered,4
10241,appraiser,2
10242,rescind,1
10243,sophomore,1
10244,daba,1
10245,disunited,9
10246,nodding,2
10247,realise,5
10248,realism,4
10249,weighted,6
10250,nettlesome,17
10251,gape,3
10252,pillaged,14
10253,pillager,3
10254,splashy,1
10255,ultimately,1
10256,victualler,1
10257,profit,19
10258,dehydrated,2
10259,agonised,2
10260,theory,1
10261,booby,4
10262,satanic,2
10263,cloven,7
10264,impose,1
10265,schnapps,1
10266,brutalize,1
10267,impost,1
10268,origin,6
10269,sanchez,2
10270,feign,2
10271,incongruous,16
10272,awfully,6
10273,soaring,8
10274,simplified,1
10275,alike,11
10276,disinterested,2
10277,arsehole,1
10278,stimulation,2
10279,chastity,1
10280,convention,5
10281,briton,1
10282,soporific,2
10283,heterologous,1
10284,holder,1
10285,looting,8
10286,require,3
10287,diplomatic,1
10288,mated,13
10289,armored,3
10290,reader,6
10291,prostitution,3
10292,mater,4
10293,armorer,2
10294,matey,1
10295,calisthenics,1
10296,exploratory,1
10297,transcription,2
10298,dining,2
10299,emphasis,2
10300,thermometer,1
10301,hyperemia,1
10302,sundry,1
10303,falls,34
10304,sterna,2
10305,freshman,8
10306,planning,5
10307,considered,15
10308,bizarreness,1
10309,cortes,1
10310,perch,2
10311,southwestern,2
10312,woolen,2
10313,protrusion,7
10314,piranha,2
10315,crime,4
10316,overage,1
10317,crimp,3
10318,newspaperwoman,2
10319,begging,4
10320,venal,4
10321,blackfish,1
10322,tarmacadam,2
10323,truckling,4
10324,primates,4
10325,treachery,4
10326,closure,8
10327,pinnacle,3
10328,disownment,1
10329,picnic,1
10330,violated,16
10331,dickhead,2
10332,simmering,1
10333,obliging,6
10334,westernize,1
10335,asperity,3
10336,harmonised,8
10337,commutation,1
10338,opening,11
10339,belittled,7
10340,anodyne,1
10341,untrustworthy,1
10342,disdainful,6
10343,dutiful,2
10344,bunko,2
10345,emir,2
10346,region,3
10347,forecaster,2
10348,resentment,2
10349,promiser,1
10350,poll,7
10351,runaway,6
10352,tittle,4
10353,hardly,1
10354,saltiest,1
10355,gray,7
10356,mocking,2
10357,concubine,3
10358,gamble,1
10359,robber,15
10360,paying,8
10361,specialised,8
10362,knucklehead,3
10363,amend,14
10364,sildenafil,1
10365,puncher,7
10366,trackless,2
10367,ontogeny,1
10368,clutter,4
10369,pruning,8
10370,appanage,1
10371,agitated,15
10372,toweling,2
10373,palmar,1
10374,devoid,1
10375,changing,12
10376,enormousness,4
10377,threaded,7
10378,melodramatic,1
10379,termination,7
10380,mythologize,1
10381,offensively,2
10382,clod,9
10383,clog,7
10384,guided,14
10385,clot,1
10386,pariah,1
10387,clop,5
10388,manse,1
10389,differentiation,1
10390,announcement,2
10391,dauntless,2
10392,regent,2
10393,decompression,1
10394,conceptualisation,2
10395,poised,3
10396,inexactness,1
10397,scheduled,1
10398,vocalizing,6
10399,test,7
10400,predetermined,2
10401,loaner,1
10402,color,16
10403,sheared,3
10404,standstill,1
10405,callas,1
10406,babytalk,1
10407,mentum,1
10408,meaninglessness,1
10409,veracity,8
10410,pacific,1
10411,defenceless,1
10412,fusty,3
10413,delectation,1
10414,nutty,2
10415,electrocardiogram,1
10416,provider,1
10417,soya,1
10418,compulsion,2
10419,declaratory,1
10420,communicate,4
10421,nudist,1
10422,nudism,1
10423,pasturage,1
10424,afrikaans,2
10425,boondocks,1
10426,concurrent,1
10427,zealous,1
10428,paralysis,1
10429,karat,1
10430,tributary,3
10431,amber,1
10432,undervalue,2
10433,communication,1
10434,garner,1
10435,soapstone,1
10436,gulden,1
10437,strictly,3
10438,racism,1
10439,strict,3
10440,succulence,1
10441,detectable,1
10442,racist,2
10443,house,10
10444,carouse,3
10445,illuminated,11
10446,soprano,1
10447,grungy,1
10448,terminus,3
10449,multiplicity,1
10450,victimisation,1
10451,strongly,1
10452,muzzy,3
10453,tubercular,1
10454,mormons,1
10455,castled,2
10456,politics,1
10457,gram,1
10458,weatherboard,2
10459,bedded,9
10460,bicycling,5
10461,idiot,2
10462,diarrhea,1
10463,ebon,1
10464,idiom,3
10465,dreadnought,1
10466,dismayed,10
10467,bounder,2
10468,gunplay,1
10469,subbing,2
10470,courtly,2
10471,bounded,18
10472,included,2
10473,illusive,1
10474,ratter,2
10475,invest,4
10476,odds,1
10477,curve,12
10478,curvy,1
10479,nitric,1
10480,fizzle,3
10481,combatively,1
10482,surgical,1
10483,follow,19
10484,settlement,6
10485,globalize,1
10486,depressurize,1
10487,assuage,8
10488,testiness,2
10489,biliary,1
10490,presentation,3
10491,belonging,1
10492,woman,2
10493,worse,14
10494,equivocal,12
10495,vassal,1
10496,soled,2
10497,induce,2
10498,cadaver,3
10499,worst,14
10500,hatching,5
10501,wilting,1
10502,induct,2
10503,porgy,1
10504,grandfather,5
10505,trench,4
10506,vibes,2
10507,undone,6
10508,epicurean,11
10509,plagiaristic,2
10510,neediness,1
10511,design,17
10512,aphrodisiac,1
10513,hesitation,5
10514,autogenous,1
10515,boodle,18
10516,prosaic,5
10517,doorframe,1
10518,seeping,2
10519,defalcation,1
10520,communicable,4
10521,retraining,1
10522,andrews,1
10523,transfigure,3
10524,oilskin,1
10525,misinterpret,4
10526,hinderance,5
10527,crybaby,2
10528,sticking,24
10529,thankfully,1
10530,snug,2
10531,fagged,14
10532,snub,5
10533,decolonization,1
10534,tarpaulin,1
10535,socialization,5
10536,wretched,15
10537,charades,9
10538,urbanize,1
10539,draughts,7
10540,debater,1
10541,squish,2
10542,quantized,2
10543,equation,3
10544,sentry,1
10545,unilluminated,2
10546,vaguer,2
10547,excursion,3
10548,whippersnapper,1
10549,embarrassing,8
10550,stomachache,1
10551,cosmological,3
10552,sectioned,2
10553,abandonment,2
10554,dubiously,1
10555,arise,5
10556,cultivate,5
10557,offspring,3
10558,earpiece,2
10559,desperation,1
10560,breaking,41
10561,cleansing,5
10562,extinguished,6
10563,immobilisation,1
10564,fungus,1
10565,disable,1
10566,numb,3
10567,capitalize,1
10568,carmaker,1
10569,rotund,1
10570,dissolving,7
10571,ricochet,2
10572,footed,3
10573,tsar,1
10574,ferociously,1
10575,september,1
10576,differentiator,1
10577,mission,4
10578,enumeration,2
10579,paunchy,1
10580,concentric,1
10581,flounce,2
10582,cloudier,1
10583,islam,1
10584,glide,6
10585,susceptible,2
10586,electioneering,2
10587,dross,2
10588,oxidization,1
10589,might,2
10590,alter,5
10591,argentine,1
10592,ophthalmologist,1
10593,predator,2
10594,belittle,2
10595,smoothness,3
10596,bigger,27
10597,cantonment,1
10598,inherent,19
10599,difficult,11
10600,stemma,1
10601,formulate,2
10602,incumbency,1
10603,recapitulate,1
10604,autobiographical,1
10605,allosaur,1
10606,scratching,12
10607,braided,3
10608,shamefaced,1
10609,imploring,2
10610,disbeliever,2
10611,health,1
10612,paradise,1
10613,caucasian,1
10614,benjamin,1
10615,confirmable,2
10616,boldness,4
10617,ersatz,1
10618,blaring,7
10619,teach,15
10620,colonised,2
10621,generate,3
10622,thrown,22
10623,circuit,3
10624,unhealthy,1
10625,blank,6
10626,bland,5
10627,corporal,3
10628,tare,1
10629,swart,1
10630,edginess,2
10631,rails,6
10632,collar,6
10633,swarm,4
10634,sward,1
10635,moat,1
10636,leafing,6
10637,celtic,1
10638,aeronaut,1
10639,uncut,2
10640,amebiasis,1
10641,waterproofing,2
10642,vial,3
10643,instruction,6
10644,dispensed,5
10645,gangling,3
10646,munificence,3
10647,enamored,12
10648,acculturation,2
10649,inappropriateness,2
10650,outstanding,6
10651,strengthen,2
10652,heightening,8
10653,leukocyte,1
10654,judah,1
10655,febrile,1
10656,lackadaisical,3
10657,comportment,1
10658,chairman,2
10659,flexure,5
10660,populous,1
10661,judas,3
10662,slenderly,2
10663,foreman,2
10664,needle,1
10665,unpeopled,1
10666,enticing,3
10667,reckon,4
10668,pillage,8
10669,foetid,3
10670,touchiness,1
10671,shareholder,1
10672,enduring,20
10673,measured,11
10674,dissolver,1
10675,anamorphosis,1
10676,amphibian,1
10677,unscalable,1
10678,heaviness,4
10679,drunkenness,6
10680,doorstop,1
10681,stoner,1
10682,memorandum,1
10683,ecumenism,2
10684,felon,2
10685,melody,4
10686,locule,1
10687,costing,1
10688,likening,3
10689,deserts,6
10690,bicolor,4
10691,moulting,3
10692,penalty,2
10693,nonchalance,1
10694,repulsiveness,2
10695,transcendental,5
10696,irreproducible,1
10697,carmine,5
10698,prudishly,1
10699,peaked,5
10700,bicolour,3
10701,avarice,5
10702,procrastination,1
10703,freedman,1
10704,fallible,1
10705,activity,1
10706,dizziness,1
10707,haemophiliac,1
10708,upsurge,1
10709,wimpish,1
10710,bohemian,5
10711,corruption,8
10712,lamenting,6
10713,plethoric,1
10714,recently,2
10715,succeed,8
10716,bronze,1
10717,license,3
10718,saskatoon,1
10719,sloth,3
10720,flies,6
10721,flier,4
10722,duplicity,1
10723,unforced,3
10724,dibble,1
10725,due,6
10726,anuran,2
10727,polychromatic,1
10728,confabulation,2
10729,armory,2
10730,quintet,5
10731,marihuana,1
10732,togs,8
10733,vaguely,1
10734,goodly,7
10735,addlepated,1
10736,incoming,4
10737,daftly,1
10738,batch,7
10739,corrode,1
10740,elfish,1
10741,compactness,2
10742,bespoke,8
10743,welding,1
10744,obtrusive,1
10745,interlacing,11
10746,windbreaker,2
10747,quail,5
10748,sliver,1
10749,arriver,1
10750,hyena,1
10751,cartridge,1
10752,sagacious,15
10753,robust,5
10754,flagitious,1
10755,lower,25
10756,earmark,1
10757,sumac,1
10758,riffle,9
10759,mellowed,1
10760,grievance,1
10761,precedence,4
10762,unitisation,1
10763,altruistic,1
10764,competitive,1
10765,mountaineering,1
10766,inactive,5
10767,margarine,3
10768,precedency,3
10769,originative,2
10770,pimiento,1
10771,loading,13
10772,exclusively,1
10773,exhibition,2
10774,rocklike,1
10775,deadened,5
10776,grapeshot,1
10777,condemnation,4
10778,lowbrow,1
10779,flabbergasted,3
10780,moralize,3
10781,aggravation,4
10782,nipple,1
10783,softy,1
10784,ecology,1
10785,fucking,12
10786,pestered,4
10787,denigration,3
10788,trumping,5
10789,streaming,5
10790,catalyze,1
10791,newsletter,1
10792,nauseating,5
10793,vortex,3
10794,soppy,3
10795,firearm,1
10796,carjacking,1
10797,autochthony,1
10798,jumpy,5
10799,juju,1
10800,percentile,1
10801,stricken,2
10802,repulsion,4
10803,ranching,1
10804,outpoint,1
10805,isomorphic,1
10806,persevering,2
10807,vagabond,15
10808,thornless,1
10809,numerate,3
10810,canal,2
10811,holla,4
10812,pundit,1
10813,introverted,2
10814,misgovernment,1
10815,tumble,6
10816,fast,17
10817,conceivable,1
10818,counterpoise,2
10819,mundane,6
10820,settlor,1
10821,forbidding,17
10822,showcase,1
10823,mystify,4
10824,nonplussed,14
10825,fruitlessness,2
10826,fries,11
10827,paleoecology,1
10828,stalking,1
10829,gratifying,5
10830,fried,1
10831,beguiling,16
10832,humanitarian,2
10833,warning,5
10834,lemon,3
10835,suffuse,1
10836,perusal,2
10837,vaulting,2
10838,chirp,2
10839,flirtation,3
10840,enfolding,4
10841,waxing,4
10842,declination,5
10843,dodging,10
10844,weighty,2
10845,pervert,8
10846,hellion,1
10847,dumbbell,3
10848,nationalization,2
10849,disposal,2
10850,grenadier,1
10851,ingratiation,1
10852,obstinate,26
10853,stable,4
10854,coquettish,1
10855,misinterpretation,1
10856,drinking,13
10857,materialism,2
10858,physiognomy,3
10859,earthing,1
10860,womaniser,1
10861,moulding,9
10862,assemblage,2
10863,sodomize,1
10864,trawl,3
10865,sensation,9
10866,paleness,3
10867,checkers,4
10868,kris,1
10869,lexicographic,1
10870,cubbyhole,1
10871,garishness,5
10872,cozy,4
10873,pushing,13
10874,desired,5
10875,separation,2
10876,bioengineering,1
10877,sexy,2
10878,frolicsome,2
10879,orangutan,2
10880,nervous,4
10881,slinging,2
10882,rede,1
10883,lodging,10
10884,summation,1
10885,redo,1
10886,droopy,1
10887,use,1
10888,fee,1
10889,dietitian,1
10890,germ,2
10891,depicted,10
10892,bitterly,1
10893,sort,6
10894,hatful,4
10895,musician,1
10896,vesicle,1
10897,infection,3
10898,commonplace,16
10899,lidless,1
10900,sculptor,2
10901,lumber,2
10902,itchiness,1
10903,proprietary,1
10904,calculation,4
10905,dripping,3
10906,wampum,16
10907,villain,2
10908,impeded,5
10909,cloddish,1
10910,exoticism,1
10911,united,7
10912,notation,1
10913,memorize,1
10914,buoyant,3
10915,prognosis,2
10916,demonstrability,1
10917,sighting,1
10918,desecrated,4
10919,tension,3
10920,hazard,15
10921,barricaded,5
10922,cheaper,2
10923,impecunious,1
10924,readiness,5
10925,hereabout,1
10926,parsonage,2
10927,saturated,2
10928,tyrant,2
10929,abstruse,1
10930,suiting,4
10931,contaminated,4
10932,linguistics,2
10933,briefness,1
10934,permanent,16
10935,contemplative,4
10936,orange,1
10937,defining,6
10938,eastward,1
10939,bumbling,20
10940,contention,6
10941,orthodox,1
10942,trenchant,2
10943,flatboat,1
10944,indexing,1
10945,carinate,1
10946,liquify,1
10947,impaired,4
10948,viscid,1
10949,bewilderment,4
10950,sternum,1
10951,profound,3
10952,conservatism,1
10953,erratic,7
10954,starkness,1
10955,monoecious,1
10956,loquacious,1
10957,vehement,1
10958,disarray,2
10959,hollering,14
10960,induction,9
10961,integrated,8
10962,despairing,1
10963,cornpone,1
10964,promptly,2
10965,fawning,11
10966,comrade,2
10967,overtake,1
10968,illicit,2
10969,transfer,15
10970,rubberneck,1
10971,bouquet,6
10972,dickie,1
10973,steamy,2
10974,effervescent,1
10975,enormity,1
10976,salutary,1
10977,inmate,1
10978,unembodied,1
10979,ticklish,1
10980,agility,1
10981,contestation,2
10982,shallow,3
10983,foliation,2
10984,slider,3
10985,fauve,1
10986,intonation,1
10987,goblin,2
10988,vestry,1
10989,improvidence,1
10990,chatterer,3
10991,boring,8
10992,infectious,1
10993,screeching,4
10994,telecommuting,1
10995,arouse,14
10996,lilliputian,11
10997,unaccountable,1
10998,fetter,12
10999,westward,1
11000,mogul,3
11001,intersecting,2
11002,discomfited,7
11003,rout,2
11004,polarization,1
11005,alienating,3
11006,asshole,4
11007,trivia,2
11008,vegetation,1
11009,combat,1
11010,muck,3
11011,harmful,1
11012,cognation,1
11013,discourage,1
11014,refreshing,5
11015,looker,1
11016,unflustered,1
11017,cussedness,1
11018,excoriation,1
11019,tidings,2
11020,stilt,4
11021,taxonomic,1
11022,spindle,1
11023,filmed,3
11024,pastoral,4
11025,clomiphene,1
11026,overeating,9
11027,spud,5
11028,homeliness,2
11029,spur,5
11030,guillemot,1
11031,enlisting,3
11032,ended,5
11033,categorised,2
11034,bunsen,1
11035,futuristic,1
11036,rafts,26
11037,shedding,10
11038,ogre,2
11039,expel,3
11040,admonition,1
11041,barrels,3
11042,artifactual,1
11043,still,21
11044,scathingly,1
11045,arguable,1
11046,recessional,1
11047,torpedo,10
11048,weighing,6
11049,joggle,3
11050,rawer,1
11051,probing,2
11052,sonorous,1
11053,animalism,1
11054,commando,1
11055,unconvincing,4
11056,moisturize,1
11057,disenfranchised,5
11058,narrower,1
11059,tenpins,1
11060,packaging,2
11061,subscribe,1
11062,meagerness,1
11063,table,6
11064,narrowed,6
11065,predestinate,1
11066,horrific,4
11067,storyteller,3
11068,tutor,1
11069,literal,5
11070,outflow,2
11071,tawdry,6
11072,determinant,4
11073,painted,4
11074,sufficient,4
11075,meritorious,2
11076,assimilative,1
11077,painter,1
11078,corset,2
11079,align,1
11080,ejection,2
11081,portrayal,9
11082,dramaturgical,1
11083,depreciation,1
11084,untagged,2
11085,sobriquet,2
11086,layer,3
11087,arcadian,2
11088,dual,4
11089,neuroanatomical,1
11090,gaudiness,4
11091,radiation,2
11092,cross,30
11093,member,1
11094,propensity,2
11095,clinker,1
11096,grandeur,2
11097,placation,1
11098,beast,3
11099,inhumed,3
11100,pestle,2
11101,fighting,12
11102,pruner,1
11103,butterball,1
11104,bandanna,1
11105,bending,8
11106,unbridled,2
11107,replenish,1
11108,crier,1
11109,fishing,3
11110,hog,1
11111,rapid,1
11112,panther,1
11113,ley,1
11114,typesetter,1
11115,enact,1
11116,unsalable,1
11117,helpful,2
11118,trigon,1
11119,breechcloth,1
11120,raffish,7
11121,civies,1
11122,tauntingly,1
11123,religiosity,2
11124,audacious,14
11125,growth,3
11126,replaceability,1
11127,leaver,1
11128,supple,3
11129,miner,1
11130,mined,1
11131,ungraciously,2
11132,conveyer,2
11133,ober,1
11134,pomelo,1
11135,kitsch,1
11136,extension,10
11137,saddle,5
11138,column,2
11139,vexation,5
11140,sectarian,1
11141,gulping,4
11142,crusted,2
11143,transposable,1
11144,owe,1
11145,negate,3
11146,gurgle,1
11147,dunderhead,8
11148,blanketed,1
11149,reconnoitering,4
11150,clunking,4
11151,groomed,6
11152,intention,2
11153,powdered,5
11154,breeding,15
11155,nederland,1
11156,republishing,1
11157,eiderdown,1
11158,deuce,2
11159,auxiliary,14
11160,israelites,2
11161,meeting,17
11162,record,33
11163,prompter,1
11164,demonstrate,4
11165,rickety,4
11166,humbling,7
11167,diarrheal,2
11168,year,1
11169,resumption,1
11170,abbot,1
11171,lobotomy,1
11172,immobilize,1
11173,other,3
11174,frypan,1
11175,sloping,17
11176,gruffness,3
11177,apportioned,4
11178,mulct,5
11179,denominationalism,1
11180,coccus,1
11181,upwards,1
11182,insipid,5
11183,necrosis,1
11184,intentionally,4
11185,gynecologist,1
11186,raining,1
11187,foul,35
11188,four,6
11189,preface,4
11190,centimeter,1
11191,shamble,4
11192,aggression,2
11193,looking,14
11194,cussed,4
11195,quadruple,7
11196,outwit,3
11197,albumen,2
11198,sputter,3
11199,immature,3
11200,sinking,8
11201,snakeroot,1
11202,uncongenial,1
11203,ruinous,2
11204,biometry,1
11205,disturb,2
11206,basics,4
11207,reduplication,1
11208,brutish,19
11209,ornamental,1
11210,plaudits,1
11211,valiant,2
11212,loathing,5
11213,cobbling,2
11214,thunder,3
11215,jocular,2
11216,fossil,3
11217,resilient,1
11218,conjure,6
11219,inducement,3
11220,cull,1
11221,aten,1
11222,cart,2
11223,cult,2
11224,jural,1
11225,synchronic,1
11226,unwillingness,1
11227,elaborate,9
11228,crosier,1
11229,etiology,1
11230,criticism,1
11231,constipated,2
11232,flotsam,1
11233,cocaine,2
11234,monetization,1
11235,apportionment,4
11236,browse,8
11237,faerie,3
11238,strike,17
11239,standardized,3
11240,hereby,1
11241,sortie,1
11242,lord,5
11243,disharmonious,1
11244,metazoa,1
11245,pursue,2
11246,shelve,2
11247,exhale,2
11248,plunger,1
11249,example,17
11250,leotards,2
11251,currency,1
11252,caution,6
11253,counseling,3
11254,enchantress,1
11255,auger,1
11256,pigsty,1
11257,feature,3
11258,imperishable,2
11259,clubbing,2
11260,dignified,4
11261,fanaticism,6
11262,tripling,2
11263,abstraction,2
11264,grandad,2
11265,thermodynamic,1
11266,minimized,7
11267,despondent,2
11268,vocalization,3
11269,reassess,1
11270,hemagglutination,1
11271,italy,1
11272,unselfish,1
11273,fictional,1
11274,baggage,1
11275,blind,5
11276,microbe,2
11277,owens,1
11278,wrought,24
11279,deregulating,1
11280,auditory,1
11281,insubstantial,2
11282,easier,1
11283,fractiousness,2
11284,slate,2
11285,aggregative,1
11286,miscible,1
11287,renunciation,4
11288,rewording,5
11289,indecent,6
11290,interrupt,2
11291,wheaten,1
11292,lupine,1
11293,gumshoe,1
11294,series,1
11295,exhume,1
11296,tragicomic,1
11297,numeration,2
11298,syntagma,1
11299,mayas,2
11300,tricksy,2
11301,foundation,11
11302,threatened,7
11303,overacting,2
11304,crowned,2
11305,strawman,1
11306,enormous,2
11307,rumple,1
11308,speedy,2
11309,knobby,1
11310,tempting,10
11311,symbolize,2
11312,lividity,1
11313,hearsay,2
11314,channels,14
11315,clarity,2
11316,basketball,1
11317,betrothed,3
11318,traumatize,1
11319,hypothetical,5
11320,transmittal,1
11321,defaulter,1
11322,chimaera,1
11323,unplowed,1
11324,rectified,11
11325,chairwoman,1
11326,crawl,7
11327,skimmer,4
11328,exultation,2
11329,foreignness,1
11330,exudate,1
11331,rusty,1
11332,penalization,1
11333,shower,3
11334,sulfurous,3
11335,skimmed,6
11336,northwesterly,1
11337,runner,3
11338,shyly,2
11339,antagonistic,2
11340,runnel,1
11341,constricted,7
11342,bleachers,1
11343,soaked,21
11344,gripe,2
11345,amusing,11
11346,soaker,3
11347,aggravate,3
11348,thrilled,10
11349,debonair,2
11350,addict,4
11351,entry,9
11352,sensualism,1
11353,eyeless,2
11354,dummy,5
11355,supine,1
11356,camp,10
11357,rotary,2
11358,temperamental,1
11359,mating,12
11360,incorporate,5
11361,itinerant,2
11362,quaint,1
11363,heretical,1
11364,crossways,4
11365,maturation,3
11366,cougar,4
11367,pocked,5
11368,chassidim,1
11369,denounce,1
11370,foremost,3
11371,pocket,3
11372,relish,7
11373,blanched,5
11374,adherence,3
11375,hasten,2
11376,frigidity,2
11377,miosis,1
11378,cloning,1
11379,cockle,5
11380,pricking,5
11381,rings,22
11382,solicitude,1
11383,humankind,2
11384,romanize,1
11385,yogurt,2
11386,cubby,1
11387,nationwide,1
11388,souvenir,2
11389,defiance,1
11390,debs,1
11391,quicklime,1
11392,disdain,3
11393,fallacious,3
11394,planned,6
11395,wipeout,2
11396,argue,1
11397,gleaming,7
11398,grazing,9
11399,reconsideration,1
11400,slay,1
11401,subsidy,13
11402,privilege,3
11403,lanthanoid,1
11404,longitudinally,1
11405,worker,3
11406,reproof,25
11407,gritty,8
11408,contemn,1
11409,euclidean,1
11410,tombac,1
11411,viii,2
11412,silken,2
11413,congratulation,1
11414,expending,3
11415,elicit,4
11416,ghastliness,1
11417,violin,1
11418,damaged,1
11419,severity,11
11420,woollen,2
11421,clucking,2
11422,damages,9
11423,big,8
11424,emphatic,4
11425,seamed,1
11426,haggard,7
11427,maximizing,3
11428,askance,3
11429,backhander,2
11430,simulated,9
11431,throttling,10
11432,misconstruction,1
11433,rotated,4
11434,sheeny,3
11435,subdued,20
11436,divination,2
11437,previous,13
11438,handshake,2
11439,spectacles,4
11440,innocent,24
11441,elevation,6
11442,quirk,1
11443,desire,15
11444,deviance,1
11445,hooey,1
11446,stylised,2
11447,grotesquely,1
11448,creed,2
11449,harassment,2
11450,creep,10
11451,paresthesia,1
11452,polluted,3
11453,contributing,11
11454,disheartened,1
11455,exposition,2
11456,polluter,1
11457,palatable,1
11458,memorably,1
11459,pitchy,3
11460,unfrozen,7
11461,yoke,7
11462,pliers,1
11463,valium,1
11464,filipino,1
11465,sycophant,1
11466,hulking,4
11467,raised,31
11468,facility,5
11469,respectably,1
11470,thankful,1
11471,consummated,1
11472,wrap,4
11473,abjectly,1
11474,support,38
11475,constantly,4
11476,authorized,7
11477,overhand,1
11478,launching,7
11479,abundantly,2
11480,canopied,1
11481,farinaceous,4
11482,beech,1
11483,shisha,2
11484,handily,1
11485,misinform,1
11486,inside,4
11487,devices,3
11488,bedouin,1
11489,textbook,2
11490,aurochs,2
11491,redolent,4
11492,stolidity,4
11493,lees,2
11494,canonize,2
11495,affectional,2
11496,nestling,12
11497,desecrate,1
11498,superfluous,4
11499,burbot,3
11500,taurus,3
11501,snooze,2
11502,disulfiram,1
11503,fastened,4
11504,rockers,3
11505,cycloid,1
11506,fastener,1
11507,breadth,1
11508,necromancy,1
11509,activated,7
11510,disrepute,1
11511,skate,1
11512,asymptomatic,1
11513,pantywaist,2
11514,hole,4
11515,airdrome,2
11516,millisecond,1
11517,uneven,2
11518,rambling,18
11519,inflected,3
11520,reverting,9
11521,atavistic,1
11522,persevere,1
11523,icing,2
11524,spate,9
11525,multistory,2
11526,orifice,1
11527,discovered,20
11528,bilges,1
11529,leave,16
11530,engrossing,10
11531,speculation,2
11532,spiritual,16
11533,collage,1
11534,parvovirus,1
11535,sign,24
11536,parachuting,2
11537,sequestrate,1
11538,jeopardy,1
11539,melt,3
11540,micturition,1
11541,academicism,1
11542,meld,7
11543,torpid,2
11544,understanding,19
11545,magnetism,1
11546,dipsomania,1
11547,linseed,1
11548,witticism,1
11549,magnetise,1
11550,redemption,3
11551,brilliant,4
11552,funded,1
11553,uprightness,3
11554,ineffective,3
11555,actualization,1
11556,logical,5
11557,eulogist,1
11558,loquacity,1
11559,fake,23
11560,trackable,1
11561,flagging,3
11562,bended,8
11563,unfastening,1
11564,wicker,2
11565,angry,12
11566,papal,2
11567,bender,3
11568,shouldered,1
11569,theoretical,3
11570,wicked,20
11571,ignorant,12
11572,virtue,20
11573,enervated,4
11574,sanctified,6
11575,pretend,8
11576,inflamed,8
11577,inciter,1
11578,phoebe,6
11579,stature,1
11580,detached,7
11581,gunfire,1
11582,awesome,2
11583,unanticipated,1
11584,stole,2
11585,monitoring,2
11586,savor,3
11587,encampment,6
11588,indention,2
11589,improving,5
11590,natural,11
11591,correlate,2
11592,biographical,1
11593,nomadic,2
11594,opinionated,1
11595,pollution,1
11596,drunken,1
11597,privation,3
11598,footstep,1
11599,counterclockwise,1
11600,carapace,3
11601,sacrosanct,1
11602,tore,9
11603,constituted,12
11604,avid,2
11605,overhaul,3
11606,nearsighted,2
11607,torn,9
11608,suspicion,3
11609,limbo,1
11610,exculpation,2
11611,nation,3
11612,amulet,1
11613,harakiri,1
11614,corroded,2
11615,reckoning,21
11616,twilight,5
11617,tumid,7
11618,assignable,3
11619,shouted,11
11620,unbarred,3
11621,syncopation,1
11622,uncultivated,1
11623,shouter,1
11624,spiritualist,1
11625,stalling,2
11626,square,13
11627,arbitrariness,3
11628,crushing,16
11629,decreed,2
11630,beetle,3
11631,neighbourhood,2
11632,crotchety,1
11633,saturnalia,2
11634,unsoiled,1
11635,sniveling,5
11636,squared,2
11637,abide,22
11638,profanation,3
11639,investigation,2
11640,intermix,1
11641,unifying,5
11642,demoralization,1
11643,cissy,2
11644,ascendant,3
11645,siege,3
11646,reshuffle,1
11647,disrespect,1
11648,mime,2
11649,matchless,7
11650,bumpy,4
11651,scarred,3
11652,pennywhistle,1
11653,patronage,9
11654,backside,5
11655,undesirably,1
11656,iterative,1
11657,enkindle,1
11658,undesirable,2
11659,unloose,1
11660,cloakroom,1
11661,septuple,1
11662,open,26
11663,ripping,4
11664,languish,1
11665,stuffer,1
11666,city,1
11667,boulevard,1
11668,operable,1
11669,wrath,1
11670,convent,1
11671,bite,10
11672,shiver,5
11673,brevity,2
11674,stuffed,13
11675,swoosh,1
11676,begotten,6
11677,cite,4
11678,vapours,5
11679,illusionist,1
11680,southbound,1
11681,antic,7
11682,slashed,13
11683,lucent,1
11684,impractical,1
11685,depressed,13
11686,stammer,2
11687,folly,8
11688,corruptible,3
11689,ratting,10
11690,individualized,7
11691,hypothetic,4
11692,damned,9
11693,aller,1
11694,argument,7
11695,alley,2
11696,buried,9
11697,allen,1
11698,downwards,1
11699,hiddenness,1
11700,rumination,4
11701,blinding,4
11702,appellation,1
11703,compress,1
11704,urania,1
11705,commissariat,3
11706,energize,2
11707,average,12
11708,blackcap,1
11709,drive,22
11710,spill,9
11711,metalworking,1
11712,wind,19
11713,laws,3
11714,pencilled,1
11715,opportunist,1
11716,merit,2
11717,opportunism,1
11718,bright,19
11719,scarce,5
11720,parsimony,1
11721,babbler,2
11722,sterilised,2
11723,liberation,8
11724,outrage,16
11725,groovy,8
11726,psychiatrist,1
